feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,label
87,147,183545,0,true,10,17,9,0.00035978502,2440,470,5979,43,17,0,26,47,0.021231422,0.0040966817,10.0,true
106,112,191540,0,true,9,15,9,0.00031159265,3404,473,8276,43,17,0,26,47,0.01898734,0.0026431717,9.0,true
64,71,167772,0,true,14,15,9,0.00018561642,1780,374,3251,43,17,0,26,47,0.037333332,0.007860753,14.0,true
63,138,175261,0,true,9,15,9,0.000326189,1953,474,3456,43,17,0,26,47,0.018947368,0.0046059364,9.0,true
90,40,193412,0,true,14,15,9,0.00017386708,4500,415,13736,43,17,0,26,47,0.033653848,0.00311042,14.0,true
95,194,183055,0,true,9,15,9,0.0003244426,2486,451,4340,43,17,0,26,47,0.019911505,0.0036188178,9.0,true
105,257,201088,0,true,9,15,9,0.0003192232,4745,499,14394,43,17,0,26,47,0.018,0.0018963338,9.0,true
84,153,202669,0,true,14,15,9,0.00024939128,4811,460,14270,43,17,0,26,47,0.030368764,0.0029093933,14.0,true
93,5,193360,0,true,9,15,9,0.00029202155,4151,471,11352,43,17,0,26,47,0.019067796,0.00216763,9.0,true
92,89,180756,0,true,9,15,9,0.00032086542,2365,447,4612,43,17,0,26,47,0.020089285,0.0038038883,9.0,true
78,116,209571,0,true,10,17,9,0.000269557,5561,550,18076,43,17,0,26,47,0.01814882,0.0017979144,10.0,true
110,184,188684,0,true,9,15,9,0.00036157997,2889,487,6140,43,17,0,26,47,0.018442623,0.003114187,9.0,true
91,211,183356,0,true,14,15,9,0.00017324756,3117,371,7264,43,17,0,26,47,0.03763441,0.004490058,14.0,true
87,217,200488,0,true,9,15,9,0.00033389204,3873,515,10714,43,17,0,26,47,0.017441861,0.0023231802,9.0,true
87,108,182714,0,true,9,15,9,0.00032409048,2620,458,5558,43,17,0,26,47,0.019607844,0.0034338038,9.0,true
105,137,192453,0,true,9,15,9,0.0003029001,3498,472,9634,43,17,0,26,47,0.019027485,0.0025721635,9.0,true
66,0,186349,0,true,9,15,9,0.00029854442,3136,510,9330,43,17,0,26,47,0.017612524,0.0028689832,9.0,true
83,150,186419,0,true,9,15,9,0.00034528866,2745,468,5909,43,17,0,26,47,0.019189766,0.0032774946,9.0,true
67,97,175987,0,true,14,15,9,0.00019818934,2388,353,5234,43,17,0,26,47,0.03954802,0.0058601927,14.0,true
83,109,177522,0,true,9,15,9,0.00036786287,2127,455,4032,43,17,0,26,47,0.019736841,0.0042293235,9.0,true
104,180,205068,0,true,9,15,9,0.00031756936,4874,514,14662,43,17,0,26,47,0.017475728,0.0018461539,9.0,true
91,163,184084,0,true,9,15,9,0.00032134636,2631,454,5458,43,17,0,26,47,0.01978022,0.0034194528,9.0,true
94,105,198599,0,true,15,19,9,0.00025603018,4224,461,11496,43,17,0,26,47,0.032467533,0.003550296,15.0,true
91,175,183105,0,true,10,17,9,0.0003396662,2279,461,3844,43,17,0,26,47,0.021645023,0.004385965,10.0,true
74,130,193106,0,true,15,17,9,0.00023781213,3865,419,11194,43,17,0,26,47,0.035714287,0.0038799793,15.0,true
105,92,196862,0,true,8,13,8,0.00031338137,4233,497,11684,43,17,0,26,47,0.016064256,0.0018894662,8.0,true
75,187,194310,0,true,10,17,9,0.00029160388,4036,514,10191,43,17,0,26,47,0.019417476,0.0024770868,10.0,true
126,115,170683,0,true,9,15,9,0.00033968518,1472,422,1336,43,17,0,26,47,0.021276595,0.0061099795,9.0,true
88,167,194709,0,true,9,15,9,0.00031856398,3572,492,9582,43,17,0,26,47,0.018255578,0.0025188916,9.0,true
110,192,195620,0,true,9,15,9,0.00033129723,3551,500,8644,43,17,0,26,47,0.017964073,0.0025337837,9.0,true
75,207,192927,0,true,9,15,9,0.00030873728,3407,485,8466,43,17,0,26,47,0.018518519,0.002640845,9.0,true
90,83,194655,0,true,9,15,9,0.0003590466,3470,507,9153,43,17,0,26,47,0.017716536,0.0025929126,9.0,true
81,124,182304,0,true,9,15,9,0.00032519587,2492,448,4526,43,17,0,26,47,0.020044543,0.0036101083,9.0,true
94,154,194198,0,true,9,15,9,0.00031324176,3614,484,9262,43,17,0,26,47,0.018556701,0.0024896266,9.0,true
96,143,175641,0,true,14,15,9,0.0001831852,2495,355,6574,43,17,0,26,47,0.039325844,0.0056089745,14.0,true
105,89,196381,0,true,9,15,9,0.000334656,4318,490,11596,43,17,0,26,47,0.018329939,0.0020838156,9.0,true
67,93,194284,0,true,9,15,9,0.00029060917,3993,473,11162,43,17,0,26,47,0.01898734,0.0022533801,9.0,true
91,0,203297,0,true,9,15,9,0.00035066984,4640,567,15340,43,17,0,26,47,0.01584507,0.0019392372,9.0,true
84,161,191723,0,true,9,15,9,0.0002899678,3647,462,9748,43,17,0,26,47,0.019438446,0.0024671052,9.0,true
99,203,187437,0,true,9,15,9,0.0003140153,2988,466,6671,43,17,0,26,47,0.01927195,0.0030110404,9.0,true
89,127,197709,0,true,9,15,9,0.00036572234,3560,515,9989,43,17,0,26,47,0.017441861,0.00252738,9.0,true
78,120,192776,0,true,10,17,9,0.0003157939,2541,487,4071,43,17,0,26,47,0.020491803,0.0039339103,10.0,true
111,259,197600,0,true,10,17,9,0.00030041306,3974,488,10738,43,17,0,26,47,0.020449897,0.0025157232,10.0,true
92,259,195550,0,true,10,17,9,0.00029034,3842,488,9898,43,17,0,26,47,0.020449897,0.0026021337,10.0,true
44,69,191649,0,true,9,15,9,0.00029540434,3848,497,10230,43,17,0,26,47,0.018072288,0.0023382697,9.0,true
70,69,201115,0,true,9,15,9,0.00036330728,3895,533,11143,43,17,0,26,47,0.016853932,0.0023100616,9.0,true
95,182,183773,0,true,14,15,9,0.00018006662,3239,366,7440,43,17,0,26,47,0.03814714,0.0043209875,14.0,true
105,164,199211,0,true,9,15,9,0.00031581777,3948,507,11400,43,17,0,26,47,0.017716536,0.002279058,9.0,true
102,122,185900,0,true,14,15,9,0.00019933113,3140,377,8222,43,17,0,26,47,0.037037037,0.0044571795,14.0,true
95,33,196222,0,true,9,15,9,0.0003204429,3484,537,8590,43,17,0,26,47,0.016728625,0.0025824965,9.0,true
109,189,192070,0,true,9,15,9,0.0003472124,3100,482,6758,43,17,0,26,47,0.01863354,0.0029022896,9.0,true
111,175,192735,0,true,9,15,9,0.0002883182,3605,484,10430,43,17,0,26,47,0.018556701,0.0024958402,9.0,true
92,225,190240,0,true,9,15,9,0.00030817746,3348,466,8110,43,17,0,26,47,0.01927195,0.0026873695,9.0,true
89,95,185486,0,true,10,18,9,0.00033214744,2552,473,5312,43,17,0,26,47,0.021097047,0.00391696,10.0,true
91,129,188990,0,true,9,15,9,0.0003241748,3259,469,7749,43,17,0,26,47,0.019148936,0.0027607363,9.0,true
71,150,191983,0,true,9,15,9,0.00031755664,3299,482,8380,43,17,0,26,47,0.01863354,0.0027272727,9.0,true
85,92,172379,0,true,9,15,9,0.00033414015,1618,428,2054,43,17,0,26,47,0.02097902,0.005558987,9.0,true
87,179,185286,0,true,10,18,9,0.0003192208,2692,454,5186,43,17,0,26,47,0.021978023,0.003713331,10.0,true
103,220,198880,0,true,9,15,9,0.00029706646,4151,500,11004,43,17,0,26,47,0.017964073,0.00216763,9.0,true
86,122,197198,0,true,10,17,9,0.00031247878,4014,512,10345,43,17,0,26,47,0.019493178,0.00249066,10.0,true
103,111,185115,0,true,14,15,9,0.00018522223,3788,356,10063,43,17,0,26,47,0.039215688,0.0036949064,14.0,true
81,139,203735,0,true,9,15,9,0.00031934306,4225,518,12201,43,17,0,26,47,0.01734104,0.0021296735,9.0,true
87,231,205621,0,true,10,17,9,0.00033608015,4557,530,12208,43,17,0,26,47,0.018832391,0.0021939448,10.0,true
71,122,181698,0,true,9,15,9,0.00031091698,2502,456,5136,43,17,0,26,47,0.019693654,0.0035956851,9.0,true
83,212,195942,0,true,9,15,9,0.0003161121,4238,479,11381,43,17,0,26,47,0.01875,0.0021231424,9.0,true
103,161,201419,0,true,9,15,9,0.0003312355,4175,512,11102,43,17,0,26,47,0.01754386,0.0021551724,9.0,true
82,232,202087,0,true,9,15,9,0.00028994677,4923,497,13934,43,17,0,26,47,0.018072288,0.0018277823,9.0,true
63,185,171325,0,true,14,15,9,0.00018129827,2036,336,3072,43,17,0,26,47,0.041543026,0.0068728523,14.0,true
92,137,174438,0,true,14,15,9,0.00020127853,2203,347,3710,43,17,0,26,47,0.040229887,0.006352087,14.0,true
110,162,179216,0,true,9,15,9,0.0003180045,2468,444,5358,43,17,0,26,47,0.020224718,0.0036452005,9.0,true
103,169,188835,0,true,9,15,9,0.00033243,3011,471,5973,43,17,0,26,47,0.019067796,0.002988048,9.0,true
80,126,185521,0,true,10,18,9,0.00032461784,2762,469,5815,43,17,0,26,47,0.021276595,0.0036192543,10.0,true
110,154,204613,0,true,9,15,9,0.0002920409,5103,510,14868,43,17,0,26,47,0.017612524,0.0017633229,9.0,true
110,236,195107,0,true,9,15,9,0.00029116924,3790,485,9636,43,17,0,26,47,0.018518519,0.0023740437,9.0,true
96,147,181616,0,true,9,15,9,0.0003424371,2407,459,5218,43,17,0,26,47,0.019565217,0.0037375416,9.0,true
93,145,183272,0,true,10,17,9,0.00031593675,2436,460,4902,43,17,0,26,47,0.021691974,0.004103406,10.0,true
83,95,204099,0,true,10,17,9,0.00035707792,4623,527,13698,43,17,0,26,47,0.018939395,0.0021626297,10.0,true
83,128,183936,0,true,10,17,9,0.00035865593,2265,469,4102,43,17,0,26,47,0.021276595,0.0044130627,10.0,true
97,147,210045,0,true,14,15,9,0.00021947702,6144,443,19545,43,17,0,26,47,0.03153153,0.002278275,14.0,true
96,84,209079,0,true,10,18,9,0.00028962147,5257,521,17464,43,17,0,26,47,0.019157087,0.0019018638,10.0,true
80,191,187914,0,true,9,15,9,0.00033472315,2814,467,6130,43,17,0,26,47,0.01923077,0.003197158,9.0,true
88,255,186006,0,true,9,15,9,0.00033209106,2799,474,6724,43,17,0,26,47,0.018947368,0.0032142857,9.0,true
87,142,193349,0,true,9,15,9,0.0003217841,3219,489,7545,43,17,0,26,47,0.018367346,0.002795031,9.0,true
110,157,204949,0,true,9,15,9,0.00033021037,4643,536,13365,43,17,0,26,47,0.016759777,0.0019379845,9.0,true
111,146,188097,0,true,14,15,9,0.00015996976,3749,372,9986,43,17,0,26,47,0.03753351,0.0037333334,14.0,true
106,125,203723,0,true,9,15,9,0.0003393082,4016,520,11214,43,17,0,26,47,0.017274473,0.002240478,9.0,true
87,95,169510,0,true,9,15,9,0.00034182618,1358,422,843,43,17,0,26,47,0.021276595,0.0066225166,9.0,true
86,64,193692,0,true,10,17,9,0.00034726804,3198,520,7932,43,17,0,26,47,0.019193858,0.0031259768,10.0,true
94,134,182603,0,true,10,17,9,0.0003171846,2522,454,4321,43,17,0,26,47,0.021978023,0.0039635357,10.0,true
86,140,186201,0,true,9,15,9,0.00031635325,2791,473,6182,43,17,0,26,47,0.01898734,0.0032234958,9.0,true
82,71,169450,0,true,9,15,9,0.00034211428,1344,422,804,43,17,0,26,47,0.021276595,0.00669145,9.0,true
95,179,195668,0,true,9,15,9,0.00031711234,3682,486,9035,43,17,0,26,47,0.018480493,0.00244366,9.0,true
94,188,195666,0,true,9,15,9,0.0002966172,3743,490,10226,43,17,0,26,47,0.018329939,0.0024038462,9.0,true
80,89,182194,0,true,9,15,9,0.00034038562,2289,456,4322,43,17,0,26,47,0.019693654,0.003930131,9.0,true
95,189,187907,0,true,9,15,9,0.0003350816,2839,463,6082,43,17,0,26,47,0.019396551,0.0031690141,9.0,true
101,34,164821,0,true,14,15,9,0.00019071727,1554,324,2449,43,17,0,26,47,0.04307692,0.0090032155,14.0,true
91,112,182313,0,true,9,15,9,0.00030998842,2468,454,4974,43,17,0,26,47,0.01978022,0.0036452005,9.0,true
106,195,194112,0,true,9,15,9,0.00033465103,3304,484,7876,43,17,0,26,47,0.018556701,0.0027231467,9.0,true
86,208,179227,0,true,14,15,9,0.00021742507,2774,358,4934,43,17,0,26,47,0.038997214,0.005045045,14.0,true
95,202,192564,0,true,10,17,9,0.0003170689,3277,489,7938,43,17,0,26,47,0.020408163,0.0030506407,10.0,true
84,153,184280,0,true,10,17,9,0.00034229757,2662,474,6222,43,17,0,26,47,0.021052632,0.0037551634,10.0,true
90,32,191657,0,true,14,15,9,0.00024662475,3741,425,10294,43,17,0,26,47,0.032863848,0.0037413149,14.0,true
106,176,177330,0,true,14,15,9,0.00020489057,2610,356,5044,43,17,0,26,47,0.039215688,0.0053619305,14.0,true
92,233,194984,0,true,9,15,9,0.00032598368,3495,478,8285,43,17,0,26,47,0.018789144,0.0025743707,9.0,true
64,92,172181,0,true,14,15,9,0.00018771373,2142,343,3912,43,17,0,26,47,0.040697675,0.0065328977,14.0,true
89,183,199445,0,true,9,15,9,0.0003290954,3927,500,9679,43,17,0,26,47,0.017964073,0.0022912424,9.0,true
95,257,182447,0,true,9,15,9,0.00033387207,2743,447,5870,43,17,0,26,47,0.020089285,0.0032798834,9.0,true
66,130,197992,0,true,10,17,9,0.00036438968,3359,536,8995,43,17,0,26,47,0.018621974,0.0029761905,10.0,true
92,129,187275,0,true,10,17,9,0.00032864706,2704,477,6251,43,17,0,26,47,0.020920502,0.0036968577,10.0,true
93,114,171423,0,true,9,15,9,0.00033731808,1484,422,1272,43,17,0,26,47,0.021276595,0.006060606,9.0,true
117,106,170651,0,true,9,15,9,0.0003400373,1425,422,1292,43,17,0,26,47,0.021276595,0.0063113603,9.0,true
85,157,202378,0,true,9,15,9,0.00033569196,4184,524,11388,43,17,0,26,47,0.017142856,0.0021505377,9.0,true
107,135,173527,0,true,8,13,8,0.0003315355,2150,418,3792,43,17,0,26,47,0.01909308,0.0037192004,8.0,true
77,119,198935,0,true,9,15,9,0.0003293254,3814,512,10630,43,17,0,26,47,0.01754386,0.0023591088,9.0,true
82,65,182865,0,true,10,18,9,0.00036080187,2225,470,4047,43,17,0,26,47,0.021231422,0.004492363,10.0,true
94,183,189093,0,true,9,15,9,0.0003316941,3101,472,6261,43,17,0,26,47,0.019027485,0.0029013539,9.0,true
87,115,201364,0,true,9,15,9,0.00037728855,3504,538,9248,43,17,0,26,47,0.016697587,0.0025677604,9.0,true
104,92,182838,0,true,9,15,9,0.0003237903,2559,450,5422,43,17,0,26,47,0.019955654,0.003515625,9.0,true
85,170,194678,0,true,10,17,9,0.000339721,3412,494,7623,43,17,0,26,47,0.02020202,0.0029299736,10.0,true
93,116,190222,0,true,14,15,9,0.00022876261,3643,404,9671,43,17,0,26,47,0.0345679,0.003841932,14.0,true
95,159,184334,0,true,10,17,9,0.000335856,2646,463,4804,43,17,0,26,47,0.021551725,0.0037778618,10.0,true
94,97,203331,0,true,10,17,9,0.00033943666,4075,540,11490,43,17,0,26,47,0.018484289,0.0024533856,10.0,true
63,152,188400,0,true,9,15,9,0.0003038986,2780,481,7559,43,17,0,26,47,0.0186722,0.003236246,9.0,true
98,255,196219,0,true,15,17,9,0.00020636285,4295,430,11718,43,17,0,26,47,0.034802783,0.00349162,15.0,true
91,72,194544,0,true,15,17,9,0.00019369388,4182,411,11468,43,17,0,26,47,0.03640777,0.003585943,15.0,true
77,103,182192,0,true,10,17,9,0.00031763557,2385,456,4433,43,17,0,26,47,0.021881837,0.004191115,10.0,true
93,108,218206,0,true,14,15,9,0.00039286882,5275,533,15476,43,17,0,26,47,0.026217228,0.0026535254,14.0,true
102,200,196729,0,true,9,15,9,0.0003210953,4317,495,12244,43,17,0,26,47,0.01814516,0.0020842983,9.0,true
74,190,206079,0,true,10,17,9,0.00030804577,5070,531,14690,43,17,0,26,47,0.018796992,0.0019719976,10.0,true
92,180,207130,0,true,15,17,9,0.00023619534,5580,458,16088,43,17,0,26,47,0.03267974,0.0026876903,15.0,true
110,204,190698,0,true,9,15,9,0.00029308323,3211,472,7570,43,17,0,26,47,0.019027485,0.0028019925,9.0,true
93,144,182876,0,true,15,17,9,0.00019598236,3288,366,7308,43,17,0,26,47,0.040871933,0.004560657,15.0,true
80,241,199187,0,true,14,15,9,0.00018195786,5210,404,15078,43,17,0,26,47,0.0345679,0.0026866244,14.0,true
96,130,176702,0,true,9,15,9,0.00032326992,2180,436,4367,43,17,0,26,47,0.020594966,0.0041265474,9.0,true
85,197,198640,0,true,9,15,9,0.0003239413,3938,511,10592,43,17,0,26,47,0.017578125,0.002284844,9.0,true
89,78,169369,0,true,9,15,9,0.00034221422,1354,422,815,43,17,0,26,47,0.021276595,0.0066420664,9.0,true
85,209,192662,0,true,10,17,9,0.00030989625,3303,478,7539,43,17,0,26,47,0.020876827,0.0030266345,10.0,true
99,220,182756,0,true,9,15,9,0.00031069314,2595,448,4682,43,17,0,26,47,0.020044543,0.003466872,9.0,true
93,126,176355,0,true,15,18,9,0.00021424661,2152,363,3626,43,17,0,26,47,0.041208792,0.0069670225,15.0,true
101,218,179814,0,true,7,11,7,0.00034892105,2523,427,4774,43,17,0,26,47,0.01635514,0.0027733755,7.0,true
92,33,197420,0,true,9,15,9,0.0003587869,3702,509,10194,43,17,0,26,47,0.01764706,0.0024304618,9.0,true
110,84,207516,0,true,9,15,9,0.00027973807,5252,509,17376,43,17,0,26,47,0.01764706,0.0017133066,9.0,true
110,185,184234,0,true,10,17,9,0.00033708118,2454,463,4386,43,17,0,26,47,0.021551725,0.00407332,10.0,true
96,196,189883,0,true,10,17,9,0.00030829897,3153,475,7397,43,17,0,26,47,0.021008404,0.003170577,10.0,true
110,186,186298,0,true,14,15,9,0.00017686984,3416,376,8744,43,17,0,26,47,0.037135277,0.0040971613,14.0,true
80,120,198399,0,true,10,17,9,0.00031045,3900,512,10452,43,17,0,26,47,0.019493178,0.0025634454,10.0,true
92,81,196975,0,true,9,15,9,0.00036054422,3568,517,9180,43,17,0,26,47,0.017374517,0.0025217147,9.0,true
86,51,196677,0,true,15,19,9,0.00017082103,4486,404,14230,43,17,0,26,47,0.037037037,0.0033429908,15.0,true
76,143,185610,0,true,10,17,9,0.00033907552,4278,525,10191,43,16,0,23,40,0.019011406,0.0023369945,10.0,true
89,125,184806,0,true,16,17,9,0.00021480527,4823,437,12079,43,16,0,23,40,0.03652968,0.0033167496,16.0,true
109,238,180292,0,true,9,15,9,0.0003624809,3482,503,7026,43,16,0,23,40,0.017857144,0.0025839794,9.0,true
79,84,196460,0,true,9,15,9,0.00040157908,5103,575,14072,43,16,0,23,40,0.015625,0.0017633229,9.0,true
90,129,195947,0,true,9,15,9,0.00035616194,5020,554,14292,43,16,0,23,40,0.016216217,0.0017924716,9.0,true
80,128,183402,0,true,9,15,9,0.0003519202,3972,517,8690,43,16,0,23,40,0.017374517,0.0022652908,9.0,true
80,234,176918,0,true,9,15,9,0.00036365938,3305,482,6148,43,16,0,23,40,0.01863354,0.002722323,9.0,true
82,106,169012,0,true,16,18,9,0.00021786128,3154,385,5864,43,16,0,23,40,0.041450776,0.0050713154,16.0,true
106,95,160086,0,true,9,15,9,0.00038870407,1835,449,1082,43,16,0,23,40,0.02,0.004901961,9.0,true
109,211,186884,0,true,9,15,9,0.00031579103,4388,503,11004,43,16,0,23,40,0.017857144,0.002050581,9.0,true
109,98,154020,0,true,15,15,9,0.00022981461,1752,343,1102,43,16,0,23,40,0.04360465,0.00855676,15.0,true
130,119,161157,0,true,9,15,9,0.00038608306,1868,449,1230,43,16,0,23,40,0.02,0.0048154094,9.0,true
104,188,197260,0,true,15,15,9,0.00023176393,5827,468,17584,43,16,0,23,40,0.031982943,0.0025737816,15.0,true
87,189,167877,0,true,9,15,9,0.00038163085,2622,469,4438,43,16,0,23,40,0.019148936,0.0034311856,9.0,true
85,124,180297,0,true,9,15,9,0.00039111028,3429,513,6616,43,16,0,23,40,0.017509727,0.0026239066,9.0,true
93,96,176906,0,true,10,17,9,0.00037704132,3207,506,5817,43,16,0,23,40,0.019723866,0.003117207,10.0,true
87,98,177205,0,true,9,15,9,0.00035303808,3354,497,6910,43,16,0,23,40,0.018072288,0.0026825634,9.0,true
81,84,188174,0,true,10,17,9,0.00041829838,3903,550,9184,43,16,0,23,40,0.01814882,0.0025614754,10.0,true
104,168,198499,0,true,9,15,9,0.00044492382,5426,565,15038,43,16,0,23,40,0.01590106,0.0016583748,9.0,true
99,203,178006,0,true,9,15,9,0.00036804724,3431,495,6432,43,16,0,23,40,0.01814516,0.0026223776,9.0,true
87,74,169327,0,true,10,17,9,0.00037564486,2445,480,2981,43,16,0,23,40,0.02079002,0.0040883073,10.0,true
98,117,184140,0,true,9,15,9,0.00035020788,3912,521,9192,43,16,0,23,40,0.01724138,0.0023000257,9.0,true
98,139,183767,0,true,9,15,9,0.000343658,4106,516,9490,43,16,0,23,40,0.017408123,0.0021913806,9.0,true
103,226,176352,0,true,9,15,9,0.00036499827,3415,482,6098,43,16,0,23,40,0.01863354,0.0026346603,9.0,true
102,91,159693,0,true,9,15,9,0.00038971513,1800,449,1058,43,16,0,23,40,0.02,0.0049972236,9.0,true
99,87,171637,0,true,15,15,9,0.00021347521,3360,387,7334,43,16,0,23,40,0.038659792,0.0044629574,15.0,true
103,257,174816,0,true,9,15,9,0.00036994444,3342,492,6256,43,16,0,23,40,0.018255578,0.0026921926,9.0,true
80,186,199922,0,true,9,15,9,0.0003471967,5890,562,16848,43,16,0,23,40,0.01598579,0.0015277542,9.0,true
101,129,185495,0,true,9,15,9,0.00033184374,4614,510,10828,43,16,0,23,40,0.017612524,0.0019501625,9.0,true
111,197,187749,0,true,9,15,9,0.0003639434,4324,511,10662,43,16,0,23,40,0.017578125,0.0020809248,9.0,true
101,222,175803,0,true,9,15,9,0.00035872008,3223,479,5882,43,16,0,23,40,0.01875,0.0027915633,9.0,true
109,255,180631,0,true,9,15,9,0.00034637767,3790,493,7524,43,16,0,23,40,0.018218623,0.0023740437,9.0,true
115,104,203062,0,true,9,15,9,0.00038546472,5785,603,16332,43,16,0,23,40,0.014900662,0.0015554788,9.0,true
105,203,182005,0,true,15,15,9,0.0002127013,4455,413,716,43,16,0,23,40,0.036231883,0.0033662478,15.0,true
91,164,188740,0,true,10,17,9,0.0003322547,4749,519,12184,43,16,0,23,40,0.01923077,0.002105263,10.0,true
82,139,192027,0,true,9,15,9,0.00032378177,5119,534,13648,43,16,0,23,40,0.01682243,0.0017578125,9.0,true
95,162,177750,0,true,9,15,9,0.00035174112,3383,495,6670,43,16,0,23,40,0.01814516,0.0026595744,9.0,true
80,97,180501,0,true,15,15,9,0.00025207002,4169,432,10220,43,16,0,23,40,0.034642033,0.0035971224,15.0,true
81,70,159010,0,true,9,15,9,0.00039147495,1740,449,139,43,16,0,23,40,0.02,0.005169443,9.0,true
92,198,189822,0,true,15,15,9,0.0002005587,5642,429,15422,43,16,0,23,40,0.034883723,0.0026581606,15.0,true
76,54,193784,0,true,15,15,9,0.00028392958,5634,481,16398,43,16,0,23,40,0.031120332,0.0026619344,15.0,true
128,117,160753,0,true,9,15,9,0.00038696904,1948,449,1262,43,16,0,23,40,0.02,0.0046177525,9.0,true
130,119,154667,0,true,15,15,9,0.00022886568,1859,343,1224,43,16,0,23,40,0.04360465,0.008064516,15.0,true
87,50,190344,0,true,10,17,9,0.0003334776,4824,538,12762,43,16,0,23,40,0.018552875,0.002072539,10.0,true
101,131,183751,0,true,9,15,9,0.000343363,4145,510,9234,43,16,0,23,40,0.017612524,0.002170767,9.0,true
105,177,168183,0,true,9,15,9,0.0003806237,2754,473,4582,43,16,0,23,40,0.01898734,0.0032667876,9.0,true
89,220,178280,0,true,9,15,9,0.00035149386,3544,489,6806,43,16,0,23,40,0.018367346,0.002538787,9.0,true
100,154,194896,0,true,9,15,9,0.00033762833,5544,538,15224,43,16,0,23,40,0.016697587,0.0016230838,9.0,true
75,197,175493,0,true,16,17,9,0.00025467773,3548,414,7759,43,16,0,23,40,0.038554218,0.0045083123,16.0,true
90,120,183634,0,true,9,15,9,0.00036672803,3896,511,8655,43,16,0,23,40,0.017578125,0.0023094688,9.0,true
110,131,190592,0,true,15,15,9,0.0002421963,5307,449,13796,43,16,0,23,40,0.033333335,0.002825923,15.0,true
93,108,185047,0,true,9,15,9,0.00031802617,4367,519,10482,43,16,0,23,40,0.017307693,0.0020604397,9.0,true
90,249,198874,0,true,9,15,9,0.00033771462,5426,556,14864,43,16,0,23,40,0.016157988,0.0016583748,9.0,true
114,103,161021,0,true,9,15,9,0.0003862287,1841,449,1152,43,16,0,23,40,0.02,0.0048859934,9.0,true
78,138,164902,0,true,9,15,9,0.00039852373,2378,467,2850,43,16,0,23,40,0.01923077,0.0037831021,9.0,true
84,144,174617,0,true,9,15,9,0.00036068965,3227,479,5889,43,16,0,23,40,0.01875,0.0027881041,9.0,true
91,188,170844,0,true,9,15,9,0.00035574823,3125,471,6136,43,16,0,23,40,0.019067796,0.0028790787,9.0,true
82,155,158471,0,true,15,15,9,0.0002203614,2469,353,3452,43,16,0,23,40,0.042372882,0.0060728746,15.0,true
93,162,173145,0,true,9,15,9,0.00035729367,2975,476,348,43,16,0,23,40,0.018867925,0.0030241935,9.0,true
115,104,160832,0,true,9,15,9,0.00038637794,1986,449,1148,43,16,0,23,40,0.02,0.0045294412,9.0,true
84,200,175546,0,true,9,15,9,0.00035890032,3164,486,5143,43,16,0,23,40,0.018480493,0.0028436019,9.0,true
